"Variable","Factor","Value1","Value2","Value3","Value4","Value5","Value6","Value7","Value8","Value9","Value10","Value11","Value12","Value13","Value14","Value15","Value16","Value17","Value18","Value19"
"Netroute_D ssrKstorage","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","20","0.1","20","0.1","0.1","0.1","0.1","0.1"
"Netroute_D gwLag","0.1","0","0","0","0","0","0","0","250","0","0","0","0","0","0","0","0","0","0","0"
"Netroute_D gwKstorage","0.1","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Shared Sdmax","0.1","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","100","100"
"Soil gw_max","0.1","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"evap_Resist soil_Depth","0.1","0.01","0.01","0.01","0.01","0.01","0.01","0.03","0.03","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"evap_Resist rcs","0.1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"evap_Resist F_Qg","0.1","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"glacier ice_init","0.1","0","5000","5000","0","5000","5000","0","0","5000","0","0","0","0","0","0","0","0","0","0"
"K_Estimate Ks_gw","0.1","6.95e-08","6.95e-08","6.95e-08","1e-05","6.95e-08","6.95e-08","2.1e-06","2.1e-06","6.95e-08","6.95e-08","6.95e-08","2.1e-06","6.95e-08","2.1e-06","6.95e-08","6.95e-08","6.95e-08","6.95e-08","1e-05"
"K_Estimate Ks_lower","0.1","0.001","0.001","0.001","0.001","0.001","0.001","1e-08","1e-08","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"K_Estimate Ks_upper","0.1","0.003","0.003","0.003","0.003","0.003","0.003","2.78e-05","2.78e-05","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003"
"Netroute_D ssrKstorage","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","100","0.5","100","0.5","0.5","0.5","0.5","0.5"
"Netroute_D gwLag","0.5","0","0","0","0","0","0","0","1250","0","0","0","0","0","0","0","0","0","0","0"
"Netroute_D gwKstorage","0.5","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"
"Shared Sdmax","0.5","0","0","0","0","0","0","50","50","0","0","0","0","0","0","0","0","0","500","500"
"Soil gw_max","0.5","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"
"evap_Resist soil_Depth","0.5","0.05","0.05","0.05","0.05","0.05","0.05","0.15","0.15","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"evap_Resist rcs","0.5","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25"
"evap_Resist F_Qg","0.5","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"glacier ice_init","0.5","0","25000","25000","0","25000","25000","0","0","25000","0","0","0","0","0","0","0","0","0","0"
"K_Estimate Ks_gw","0.5","3.475e-07","3.475e-07","3.475e-07","5e-05","3.475e-07","3.475e-07","1.05e-05","1.05e-05","3.475e-07","3.475e-07","3.475e-07","1.05e-05","3.475e-07","1.05e-05","3.475e-07","3.475e-07","3.475e-07","3.475e-07","5e-05"
"K_Estimate Ks_lower","0.5","0.005","0.005","0.005","0.005","0.005","0.005","5e-08","5e-08","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005"
"K_Estimate Ks_upper","0.5","0.015","0.015","0.015","0.015","0.015","0.015","0.000139","0.000139","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015"
"Netroute_D ssrKstorage","1","1","1","1","1","1","1","1","1","1","1","1","200","1","200","1","1","1","1","1"
"Netroute_D gwLag","1","0","0","0","0","0","0","0","2500","0","0","0","0","0","0","0","0","0","0","0"
"Netroute_D gwKstorage","1","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60"
"Shared Sdmax","1","0","0","0","0","0","0","100","100","0","0","0","0","0","0","0","0","0","1000","1000"
"Soil gw_max","1","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"
"evap_Resist soil_Depth","1","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"evap_Resist rcs","1","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"evap_Resist F_Qg","1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"glacier ice_init","1","0","50000","50000","0","50000","50000","0","0","50000","0","0","0","0","0","0","0","0","0","0"
"K_Estimate Ks_gw","1","6.95e-07","6.95e-07","6.95e-07","1e-04","6.95e-07","6.95e-07","2.1e-05","2.1e-05","6.95e-07","6.95e-07","6.95e-07","2.1e-05","6.95e-07","2.1e-05","6.95e-07","6.95e-07","6.95e-07","6.95e-07","1e-04"
"K_Estimate Ks_lower","1","0.01","0.01","0.01","0.01","0.01","0.01","1e-07","1e-07","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"K_Estimate Ks_upper","1","0.03","0.03","0.03","0.03","0.03","0.03","0.000278","0.000278","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Netroute_D ssrKstorage","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","300","1.5","300","1.5","1.5","1.5","1.5","1.5"
"Netroute_D gwLag","1.5","0","0","0","0","0","0","0","3750","0","0","0","0","0","0","0","0","0","0","0"
"Netroute_D gwKstorage","1.5","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90"
"Shared Sdmax","1.5","0","0","0","0","0","0","150","150","0","0","0","0","0","0","0","0","0","1500","1500"
"Soil gw_max","1.5","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500"
"evap_Resist soil_Depth","1.5","0.15","0.15","0.15","0.15","0.15","0.15","0.45","0.45","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15"
"evap_Resist rcs","1.5","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75"
"evap_Resist F_Qg","1.5","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15"
"glacier ice_init","1.5","0","75000","75000","0","75000","75000","0","0","75000","0","0","0","0","0","0","0","0","0","0"
"K_Estimate Ks_gw","1.5","1.0425e-06","1.0425e-06","1.0425e-06","0.00015","1.0425e-06","1.0425e-06","3.15e-05","3.15e-05","1.0425e-06","1.0425e-06","1.0425e-06","3.15e-05","1.0425e-06","3.15e-05","1.0425e-06","1.0425e-06","1.0425e-06","1.0425e-06","0.00015"
"K_Estimate Ks_lower","1.5","0.015","0.015","0.015","0.015","0.015","0.015","1.5e-07","1.5e-07","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015"
"K_Estimate Ks_upper","1.5","0.045","0.045","0.045","0.045","0.045","0.045","0.000417","0.000417","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045"
"Netroute_D ssrKstorage","2","2","2","2","2","2","2","2","2","2","2","2","400","2","400","2","2","2","2","2"
"Netroute_D gwLag","2","0","0","0","0","0","0","0","5000","0","0","0","0","0","0","0","0","0","0","0"
"Netroute_D gwKstorage","2","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120"
"Shared Sdmax","2","0","0","0","0","0","0","200","200","0","0","0","0","0","0","0","0","0","2000","2000"
"Soil gw_max","2","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000"
"evap_Resist soil_Depth","2","0.2","0.2","0.2","0.2","0.2","0.2","0.6","0.6","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"evap_Resist rcs","2","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"evap_Resist F_Qg","2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"glacier ice_init","2","0","1e+05","1e+05","0","1e+05","1e+05","0","0","1e+05","0","0","0","0","0","0","0","0","0","0"
"K_Estimate Ks_gw","2","1.39e-06","1.39e-06","1.39e-06","2e-04","1.39e-06","1.39e-06","4.2e-05","4.2e-05","1.39e-06","1.39e-06","1.39e-06","4.2e-05","1.39e-06","4.2e-05","1.39e-06","1.39e-06","1.39e-06","1.39e-06","2e-04"
"K_Estimate Ks_lower","2","0.02","0.02","0.02","0.02","0.02","0.02","2e-07","2e-07","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"K_Estimate Ks_upper","2","0.06","0.06","0.06","0.06","0.06","0.06","0.000556","0.000556","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06"
"Netroute_D ssrKstorage","10","10","10","10","10","10","10","10","10","10","10","10","2000","10","2000","10","10","10","10","10"
"Netroute_D gwLag","10","0","0","0","0","0","0","0","25000","0","0","0","0","0","0","0","0","0","0","0"
"Netroute_D gwKstorage","10","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600","600"
"Shared Sdmax","10","0","0","0","0","0","0","1000","1000","0","0","0","0","0","0","0","0","0","10000","10000"
"Soil gw_max","10","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000"
"evap_Resist soil_Depth","10","1","1","1","1","1","1","3","3","1","1","1","1","1","1","1","1","1","1","1"
"evap_Resist rcs","10","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"
"evap_Resist F_Qg","10","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"glacier ice_init","10","0","5e+05","5e+05","0","5e+05","5e+05","0","0","5e+05","0","0","0","0","0","0","0","0","0","0"
"K_Estimate Ks_gw","10","6.95e-06","6.95e-06","6.95e-06","0.001","6.95e-06","6.95e-06","0.00021","0.00021","6.95e-06","6.95e-06","6.95e-06","0.00021","6.95e-06","0.00021","6.95e-06","6.95e-06","6.95e-06","6.95e-06","0.001"
"K_Estimate Ks_lower","10","0.1","0.1","0.1","0.1","0.1","0.1","1e-06","1e-06","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"K_Estimate Ks_upper","10","0.3","0.3","0.3","0.3","0.3","0.3","0.00278","0.00278","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
