"Variable","Factor","HRU1","HRU2","HRU3","HRU4","HRU5","HRU6","HRU7","HRU8","HRU9","HRU10","HRU11","HRU12","HRU13","HRU14","HRU15","HRU16","HRU17","HRU18","HRU19"
"Shared soil_moist_max","0.1","1.3","1.3","1.3","1.3","1.3","1.3","4","4","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3"
"Shared soil_rechr_max","0.1","1","1","1","1","1","1","3","3","1","1","1","1","1","1","1","1","1","1","1"
"Shared soil_moist_max","0.5","6.5","6.5","6.5","6.5","6.5","6.5","20","20","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5"
"Shared soil_rechr_max","0.5","5","5","5","5","5","5","15","15","5","5","5","5","5","5","5","5","5","5","5"
"Shared soil_moist_max","1","13","13","13","13","13","13","40","40","13","13","13","13","13","13","13","13","13","13","13"
"Shared soil_rechr_max","1","10","10","10","10","10","10","30","30","10","10","10","10","10","10","10","10","10","10","10"
"Shared soil_moist_max","1.5","19.5","19.5","19.5","19.5","19.5","19.5","60","60","19.5","19.5","19.5","19.5","19.5","19.5","19.5","19.5","19.5","19.5","19.5"
"Shared soil_rechr_max","1.5","15","15","15","15","15","15","45","45","15","15","15","15","15","15","15","15","15","15","15"
"Shared soil_moist_max","2","26","26","26","26","26","26","80","80","26","26","26","26","26","26","26","26","26","26","26"
"Shared soil_rechr_max","2","20","20","20","20","20","20","60","60","20","20","20","20","20","20","20","20","20","20","20"
"Shared soil_moist_max","10","130","130","130","130","130","130","400","400","130","130","130","130","130","130","130","130","130","130","130"
"Shared soil_rechr_max","10","100","100","100","100","100","100","300","300","100","100","100","100","100","100","100","100","100","100","100"
